,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
990,207,1,4,2,2,러시아, ,1,8,1,2,3,4,1,2,1,4,가족/친지,3,개별여행,13,4,4,4,4,4,4,4,4,3,3,5,3,5,3,5,1, ,8, , , , , , , , , , , , , ,16, , ,1, ,3, , , , ,8, , ,125,4,28,2,4,9,테마파크,1,1,7,10,1,5,6,6600.0,0.0,6600.0
999,1808,2,1,2,4,러시아,2,1,9,1,3,2,3,1,1,4,11,가족/친지,2,개별여행,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,129,128,132,18,2,16,자연경관감상,1,1,10, ,4,6,8,974.4,174.0,800.4
1013,463,1,1,2,12,러시아, ,1,2,2, , ,5,6, , , ,직장동료,2,개별여행,2,4,5,5,4,4,5,5,3,2,3,5,4,5,3,4, , , , , , , , , , , ,7, , , , , , , , , , , , ,6, , , , ,94, , ,1,22,17,전통문화체험,1,9,10, ,8,9,10,365.0,365.0,0.0
1048,667,1,1,3,7,러시아, ,7,6,3,2,4,1,5, , , ,가족/친지,2,개별여행,15,4,5,5,5,5,5,5,4,4,4,5,4,4,3,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,12,6,1,15,6,1,자연경관감상,1,1, , ,4,6,10,5400.0,5100.0,300.0
1079,467,2,2,2,3,러시아, ,4,2,2, , ,3,1,1,3,6,가족/친지,2,개별여행,6,4,4,4,4,5,5,5,4,4,4,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,20, ,17,18, ,자연경관감상,2,2,3,7,5,13,14,2500.0,2500.0,0.0
1150,990,1,2,2,5,러시아, ,2,1,3, , ,1,1,10,12,17,혼자,1,개별여행,1,5,5,4,9,4,9,5,5,3,4,3,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14, , ,10, , ,스포츠활동, ,12, , ,21, , ,32.48942063,0.0,32.48942063
1152,1037,1,2,3,6,러시아, ,1,1,2,3,5,1,1,1,2,6,친구/연인,2,개별여행,7,5,5,5,4,4,5,4,4,3,4,5,4,4,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,8,99,5,1,12,17,온천/스파,2,3,7,9,3,4,16,900.0,0.0,900.0
1165,1243,2,1,3,5,러시아,20,1,1,3,5,2,3,1,3, , ,혼자,1,개별여행,1,5,3,4,9,5,9,5,5,2,2,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2, ,17,20, ,고궁/역사유적지방문, ,12, , ,21, , ,250.0,0.0,250.0
1192,500,1,1,2,4,러시아, ,1,4,2,3, ,3,1,2,7,4,혼자,1,개별여행,6,4,5,5,4,5,4,5,5,5,3,5,4,4,3,4,1, , , , , , , , , , , , ,5, , , , , ,1, , , , , ,7, , , ,6,9,3,1,2,7,쇼핑,2,3,5,6,3,4,6,4043.7428,3252.575688,791.1670593
1193,817,2,5,3,5,러시아, ,4,4,3,2,8,2,1,15,5,16,혼자,1,개별여행,22,5,5,5,4,4,4,5,5,3,4,5,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,20,16,17,5,6,고궁/역사유적지방문,2,3,4,9,5,10,12,2000.0,0.0,2000.0
