,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
427,593,1,4,2,2,호주, ,1,10,3, , ,1,6, , , ,직장동료,2,개별여행,3,5,5,5,5,5,5,5,5,3,3,5,3,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,7,30, ,16,2,1,업무수행,1,11, , ,4, , ,1067.659,1067.659,0.0
439,1111,1,3,4,2,호주, ,10,1,2, , ,2,6, , , ,혼자,1,개별여행,2,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,136, , ,16, , ,업무수행,1,1, , ,10, , ,105.5906171,0.0,105.5906171
444,1371,2,0,2,8,호주,1,1,1,2,3,5,6,1,9,16,10,가족/친지,4,개별여행,7,5,4,4,5,5,4,5,5,3,5,5,4,5,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,13,14,17,4,1,자연경관감상,2,9, , ,3,4,15,330.234,172.296,157.938
465,743,2,5,3,10,호주,1,1,3,3,1,4,13,1,3, , ,가족/친지,2,단체여행,6,4,5,3,4,4,3,4,3,3,4,4,4,4,3,4,1,4,8, , , , , , , ,3, , , , , ,16, , ,1,2,3, , ,6, ,8, , ,1,90,124,17,18,19,고궁/역사유적지방문,1,5, , ,15,18, ,4408.0,0.0,4408.0
466,744,2,5,1,10,호주, ,1,3,1,3,4,10,1,3,10,1,가족/친지,2,단체여행,9,4,4,4,5,4,5,5,5,4,4,4,4,4,4,5,1,4,8,9, , , , , , ,3, ,2, , , ,16, , ,1,2,3,4, ,6, ,8, , ,1,30,88,18,20,17,전통문화체험,1,5,9, ,10,18, ,1216.0,0.0,1216.0
469,797,2,0,3,2,호주,1,1,3,1,2,5,12,1,1,3,2,혼자,1,단체여행,9,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1,4,8,9, , , , , , ,3, ,2, , , ,16, , ,1,2,3,4, ,6, ,8, , ,96,124,99,1,9,4,시티투어버스이용,1,3,6,10,1,11,16,4947.6,4256.0,691.6
470,798,2,1,2, ,호주,1,1,3,1,2,3,12,1,3,7,4,가족/친지,6,단체여행,9,4,4,5,5,5,5,4,5,3,4,5,4,4,4,4,1,4,8,9,6, , , , , ,3, ,2, , , ,16, , ,1,2,3,4,5,6, ,8, , ,1,2,4,17,21,1,고궁/역사유적지방문,1,3,8,9,3,5,8,4940.0,4256.0,684.0
487,1874,2,1,2,8,호주,1,1,4,3,2, ,3,1,1,3,4,친구/연인,2,개별여행,6,4,4,4,4,5,4,3,3,4,4,4,3,4,4,4,1,4, , , , , , , , , , ,2, , , , , , ,1,2, , , ,6, , , , ,3,4,17,18,2,1,식도락,2,1,7,9,5,6,18,950.875,190.175,760.7
531,1856,1,2,2,4,호주, ,1,8,3,2,4,3,1,16,1,2,혼자,1,개별여행,4,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,1,8,21,18,2,시티투어버스이용,2,9, , ,4,15,18,995.375,398.15,597.225
548,1861,1,2,2,3,호주, ,1,9,4,3,5,4,1,3,1,7,친구/연인,2,개별여행,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,4,1,102,21,17,19,시티투어버스이용,1,1,7,8,3,12,18,988.9,478.5,510.4
