,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
9880,433,2,1,2,3,인도네시아, ,1,9,3,2,5,12,1,2,7,13,친구/연인,3,개별여행,9,5,4,5,4,4,5,5,4,2,2,5,5,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,5,1,28,1,17,18,쇼핑,2,5,6,7,4,5,9,929.743005,280.6771336,649.0658714
9929,485,1,1,2,5,인도네시아, ,1,9,3, , ,6,6, , , ,직장동료,2,개별여행,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,104,5,15,7,2,유흥.오락,1,3,7,10,5,9,15,1140.250855,0.0,1140.250855
9930,486,1,1,2,7,인도네시아, ,1,9,5,3,1,4,1,1,7,2,가족/친지,4,개별여행,7,4,3,4,4,5,4,4,4,3,3,4,3,4,3,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,50,17,5,17,1,2,식도락,2,4,5,7,4,5, ,109200.0,0.0,109200.0
9988,550,1,3,2,2,인도네시아, ,2,9,5,2, ,8,1,16, , ,가족/친지,20,단체여행,4,4,5,4,4,4,4,5,5,4,4,4,4,5,4,4,1,4,8,9, , , , , , , , , , , , , , , ,1,2,3,4, , , , , , ,8,5,1,1,14,21,쇼핑,2,1,2,5,1,5,13,1950.0,1500.0,450.0
9989,551,1,4,2,2,인도네시아,1,2,9,5, , ,3,1,1,3,4,친구/연인,4,단체여행,5,5,5,5,5,4,9,5,3,3,3,4,5,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,51,50,5,18,22,2,전통문화체험,1,12, , ,21, , ,1500.0,0.0,1500.0
10027,591,1,1,1,7,인도네시아, ,1,9,2,5, ,12,6, , , ,혼자,1,개별여행,181,5,5,5,5,4,5,5,4,4,4,5,4,5,4,5, , , , , , , , , ,15,3, , , , , , , , , , , , , ,6, , , , ,89,91,136,16,1,22,업무수행,5,2,3,9,3,4,9,1420.927989,0.0,1420.927989
10028,592,1,3,2,1,인도네시아, ,1,9,2,3, ,2,6, , , ,직장동료,2,개별여행,4,5,4,4,4,4,4,5,4,3,4,5,3,5,4,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,29, , ,15,19,2,식도락,1,3,9, ,4,6,8,1184.106657,438.5580212,745.5486361
10029,593,2,2,2,3,인도네시아, ,1,9,1,5,2,5,1,1,3,7,친구/연인,3,개별여행,9,5,4,5,5,4,5,5,5,4,4,4,3,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,17,4,5,18,4,2,자연경관감상,2,4,5,7,4,5, ,783.2646259,175.4232085,607.8414174
10030,594,2,1,3,6,인도네시아, ,1,9,3, , ,8,1,4,3,5,친구/연인,6,개별여행,7,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,20,14,9,17,19,테마파크,1,7, , ,4,5, ,2210.332427,0.0,2210.332427
10051,616,2,3,3,9,인도네시아, ,1,9,3,5,1,1,1,16,3,2,가족/친지,13,단체여행,4,4,3,5,5,3,4,5,4,4,3,4,4,5,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,2,4,22,15,1,전통문화체험,1,3,9,10,5,10,18,1350.0,0.0,1350.0
10052,617,1,3,3,2,인도네시아, ,1,9,5,3,1,3,1,3,7,16,직장동료,21,단체여행,4,5,5,5,5,5,4,4,4,3,4,5,3,5,3,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,1,5,4,2,7,식도락,1,2,5,7,4,5,10,1875.0,0.0,1875.0
10053,618,1,1,2,5,인도네시아, ,1,9,3,2,5,3,6, , , ,가족/친지,4,단체여행,7,4,5,3,3,4,4,5,5,2,3,3,4,4,3,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,5,20,2,1,15,식도락,2,2,5,7,5, , ,300.0,0.0,300.0
10229,803,2,1,2,1,인도네시아, ,1,9,3,5, ,1,6, , , ,직장동료,2,개별여행,5,5,4,5,4,4,5,5,5,4,4,4,4,5,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8,4,1,2,18,자연경관감상,7,5,7, ,3,4,5,862.5,0.0,862.5
