,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
2306,1121,1,3,4,2,싱가포르, ,1,1,2,5,3,2,1,1,2,4,가족/친지,2,개별여행,5,4,5,5,5,5,5,5,5,4,5,5,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,5, ,1,9,19,공연/민속행사/축제참가관람,1,3,9, ,8,10, ,1895.575,1206.275,689.3
2307,1122,1,0,1,8,싱가포르, ,1,1,5,3,2,12,1,3,1,4,가족/친지,5,개별여행,15,5,4,5,5,4,5,4,4,3,4,5,5,5,5,5,1,4, , , , , , , , , , ,2, , , , , , ,1,2, , , ,6, , , , ,5,14,99,17,13,1,유흥.오락,1,3,7,8,3,4,5,2274.69,1240.74,1033.95
2313,1128,1,0,1,8,싱가포르, ,1,1,2, , ,4,1,3,9,11,친구/연인,2,개별여행,7,4,4,5,4,4,3,4,4,3,4,4,4,4,3,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,131, , ,4,18,2,휴양/휴식,1,10, , ,10, , ,44804.5,13786.0,31018.5
2334,1157,1,1,2,1,싱가포르, ,1,1,3,4,2,6,1,1,2,4,가족/친지,4,개별여행,12,5,4,4,4,4,4,4,4,3,4,4,4,4,5,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,125,4,3,18,1,17,자연경관감상,1,7,8, ,4,5, ,654.835,275.72,379.115
2350,1179,1,3,3,3,싱가포르, ,40,1,3, , ,1,6, , , ,직장동료,2,개별여행,7,5,5,5,5,5,4,4,3,3,3,5,5,5,5,4, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,33, , ,16, , ,업무수행,1,1, , ,16, , ,1277.240349,1155.405021,121.8353274
2359,1196,2,3,2,2,싱가포르,1,10,1,9, , ,1,1,4,12,2,친구/연인,2,개별여행,7,3,4,4,4,5,4,4,4,3,4,4,3,3,3,3,1, , , , , , , ,14, , , , , , , , , , ,1, , , , ,6, , , , ,17,3,72,2,1, ,식도락,1,2,3,4,3,4,5,2309.155,1033.95,1275.205
2365,1203,2,1,2,3,싱가포르, ,1,1,2,5,3,2,1,2,4,7,친구/연인,2,개별여행,6,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,5,3,1,2,4,쇼핑,1,3,5,7,3,5,4,1792.18,1378.6,413.58
2369,1210,2,3,2,2,싱가포르, ,20,1,2,3,1,1,1,2,4,13,가족/친지,3,개별여행,6,4,4,3,3,4,4,4,3,3,3,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,16,9,2,1,3,온천/스파,1,3,5,7,3,5,6,1688.785,861.625,827.16
2377,1220,2,3,3,8,싱가포르, ,1,1,3, , ,6,1,2,4,13,가족/친지,4,개별여행,5,5,4,4,5,4,4,4,4,3,4,4,4,4,1,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,16,6,1,17,2,쇼핑,1,4,5,7,3,4,5,2481.48,1378.6,1102.88
2409,1264,2,1,2,8,싱가포르, ,1,1,3,2, ,3,1,2, , ,친구/연인,2,개별여행,8,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,10,1,1,17,2,쇼핑,1,4,5,7,5,10, ,1137.345,0.0,1137.345
2417,1275,2,4,3,2,싱가포르, ,8,1,3,2,6,2,5, , , ,혼자,1,개별여행,28,5,5,5,5,4,4,4,3,2,3,5,4,4,5,5,1,4,8,9, , , , , , , , ,2, , , ,16, , ,1,2,3,4, ,6, ,8, , ,6,98,134,4,1,22,전통문화체험,1,2,5,7,3,5,10,2274.69,0.0,2274.69
2428,1288,2,2,3,3,싱가포르, ,1,1,3,2, ,7,1,6,2,8,친구/연인,3,개별여행,8,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,5,12,1,9,10,스포츠활동,1,3,7,10,9,10, ,2757.2,1723.25,1033.95
2429,1289,2,2,3,3,싱가포르, ,10,1,2, , ,6,1,2,8, ,가족/친지,2,개별여행,10,4,4,4,4,5,5,5,4,4,4,5,4,4,4,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,51,5, ,1,10,18,스포츠활동,1,7, , ,4,5,6,1930.04,1240.74,689.3
2430,1290,2,3,2,2,싱가포르, ,5,1,9, , ,6,1,2,4,1,가족/친지,4,개별여행,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,28,42,8,2,3,9,쇼핑,1,2,5,7,4,6,8,4342.59,413.58,3929.01
2445,1312,2,2,3,2,싱가포르, ,4,1,1,3, ,6,6, , , ,혼자,1,개별여행,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11, , ,15, , ,미팅/회의/학술대회/박람회참가,1,7, , ,5, , ,357.383627,162.4471032,194.9365238
