,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
811,340,2,1,2,2,말레이시아, ,1,5,2,3, ,8,4,2,4,7,친구/연인,7,개별여행,8,4,5,3,4,4,4,4,4,2,3,4,4,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5,8,1,9,17,고궁/역사유적지방문,1,7,9,10,3,4,6,647.3813,86.8968274,560.4845367
821,263,1,5,2,10,말레이시아, ,4,8,3,5,2,2,1,3,1,9,가족/친지,2,개별여행,12,4,4,4,4,5,5,5,4,3,4,4,4,4,4,5, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,124,97,130,1,18,20,쇼핑,1,1,9,10,1,2,4,2000.0,1300.0,700.0
830,666,2,0,1,8,말레이시아,5,2,11,1,3,7,4,1,2,1,8,가족/친지,8,단체여행,6,5,5,5,5,4,4,5,5,5,3,5,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,1,8,1,9,2,쇼핑,1,1,7, ,5, , ,2126.7,0.0,2126.7
835,385,1,4,2,2,말레이시아, ,1,3,3,1,5,5,1,8,1,3,가족/친지,3,단체여행,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,2, ,1,17,20,고궁/역사유적지방문,1,1,3,5,1,3,5,786.8,0.0,786.8
842,73,2,2,2,1,말레이시아, ,1,8,3,2,4,12,1,3,8,2,가족/친지,5,개별여행,5,3,4,4,4,3,4,4,4,3,3,4,3,4,3,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,6,9,4,17,18,쇼핑,1,4,5,7,4,5,6,1213.16,0.0,1213.16
844,415,1,1,3,5,말레이시아, ,1,9,5,3, ,3,1,7,6,8,가족/친지,2,개별여행,11,5,4,5,5,4,5,5,4,4,3,4,3,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,9,51, ,1,7, ,쇼핑,1,1,6,10,4,8,12,1754.232085,0.0,1754.232085
845,441,2,3,2,7,말레이시아, ,12,10,5,1,2,2,1,8,13,5,가족/친지,25,단체여행,5,4,4,4,4,3,4,4,3,3,2,3,4,4,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,28,48,5,18,1,9,자연경관감상,1,3,4,7,4,5,19,661.64,0.0,661.64
901,129,2,1,2,2,말레이시아, ,2,3,6,3,4,6,1,1,11,2,가족/친지,2,개별여행,8,5,4,5,5,5,5,4,5,3,3,5,4,4,4,4,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,17,1,13,18,17,1,자연경관감상,1,4,7, ,2,4,18,989.12,89.92,899.2
918,113,2,1,2,4,말레이시아, ,2,6,3,5,2,36,1,13,6,3,혼자,1,개별여행,21,4,3,5,4,4,4,4,4,3,3,4,5,4,5,4,1,4,8,9, , , , , , , , , , , , ,16, , ,1,2,3,4, , , ,8, , ,1,17,3,1,7,14,테마파크,2,4,5,7,3,16,19,569.3614,0.0,569.3613518
925,624,1,3,2,2,말레이시아, ,1,7,5,2,8,6,6, , , ,친구/연인,3,개별여행,10,5,5,5,5,4,5,5,5,4,4,5,4,5,4,5, , , , , ,10, , , , , , , , , , , , , , , , , ,5, , , , , ,62,136, ,16,7, ,유흥.오락,1,1,3, ,5,9,10,4654.0,0.0,4654.0
